vessel_name,imo,dwt,loa,beam,draft,cbm,coating,tanks,pumps,built,flag,operator,owner,ice_class,fuel_type
103 Hyodong Chemi,9267986,3605,90,15,5.8,4223,Stainless,10,10,2002,KOR,Hyodong Shipping,Hyodong Shipping,,
308 Hyodong Chemi,9877195,3997,92,15,6.1,4245,Epoxy,12,12,2020,KOR,Hyodong Shipping,Hyodong Shipping,,Open Loop Scrubber Fitted
A R G,9689031,19950,160,23,8.4,22316,Epoxy,12,3,2018,BRB,Arg Shipping,Arg Shipping,1B,
A.S Emerald Green,9353876,13130,128,20,8.6,13803,Epoxy,14,14,2006,PAN,Borealis Tankers,UR Corporation,,
A.S Ruby Red,9411563,12885,127,20,8.0,13777,Epoxy,14,12,2007,PAN,Borealis Tankers,Aslan Shipping Services,,
AA-D,9566708,7081,110,17,7.1,7595,Marineline,14,14,2012,MLT,Marinpet Petrol Denizcilik,CCY Shipping Corporation,,
Aalborg,9327475,3522,90,15,5.0,4578,Epoxy,10,10,2005,DIS,Alba Tankers,Alba Tankers,,
Aapus 11,9508158,19814,141,24,9.8,21715,Stainless,20,20,2008,PAN,East Sun Maritime Management,Alpha Apus,,
AB Olivia,9381328,13076,129,20,8.7,14382,Marineline,14,14,2008,PAN,Alliance Logistics,An Binh Logistics,,
AB Paloma,9378199,12927,127,20,8.7,13761,Interline,14,14,2007,PAN,An Binh Logistics,An Binh Logistics,,
ABC Sun,9416329,6822,110,18,7.0,7741,Zinc,14,14,2008,PAN,Poseidon,Albinia Properties,,
ABC Trader,9340922,11225,116,20,8.4,12250,Epoxy,12,12,2007,PAN,Poseidon,Iskander Shipping SA,,
Aberlour,9878022,34797,155,36,9.5,40759,Epoxy,14,14,2022,LBR,Pioneer Tankers,Pioneer Tankers,,
Abros,9247388,24086,168,26,9.0,28692,Epoxy,12,12,2004,CUW,Agarwal Brothers Shipping,Agarwal Brothers Shipping,1B,
Acacia,9476599,13565,132,20,8.8,14561,Zinc,16,16,2010,PAN,Tatsumi Marine,Kokuka Sangyo,,
Acacia,9747352,49999,183,32,13.3,52953,Epoxy,14,14,2017,LBR,Clearlake Shipping,Ocean Delicacy Shipping,,
Acadia Park,9780548,19996,145,24,9.8,21966,Stainless,18,18,2018,LBR,Zodiac Maritime,Zodiac Maritime,,
Acadian,9298715,37515,183,27,11.0,41342,Epoxy,14,12,2005,CAN,Womar Denali Tankers Inc,Iver Ships,1B,Scrubber fitted
Accord,9274020,8575,112,19,7.6,9392,Stainless,16,16,2004,SGP,Raffles Shipping International,Raffles Shipping International,,
Ace Hana,9805063,1787,69,12,5.0,1926,Stainless,9,9,2017,PAN,Hana Marine,Hana Marine,,Scrubber Fitted
Aconcagua,9526681,13898,143,21,9.0,15717,Epoxy,12,12,2010,ECU,MARDCOM,MARDCOM,,
Ada,9420693,5707,106,17,6.3,6292,Marineline,12,12,2008,MHL,Torlak Shipping,Torlak Shipping,1C,
Adelaide,9597721,21280,149,24,9.7,22110,Stainless,22,22,2011,SGP,Raffles Shipping International,Raffles Shipping International,,
Adele,9288021,46186,183,32,12.0,54710,Epoxy,14,14,2005,HKG,Clivia Maritime,Clivia Maritime,,Open Loop Scrubber Fitted
Adele,9531442,3200,88,13,5.8,3743,Epoxy,10,10,2010,MLT,Avin International,Avin International,,
Adeline,9186704,13190,146,20,8.4,14650,Epoxy,11,11,1999,PAN,Massi Shipping,Massi Shipping,1D,
Adhara,9353125,37296,184,27,11.5,41855,Epoxy,14,14,2008,TBN,Zhao Yao Shipping,Zhao Yao Shipping,1A,
Adil Ibrahimli,9575319,7103,140,17,5.0,8090,Marineline,6,3,2011,LBR,Palmali Shipping,Palmali Shipping,1C,
Aditya,9323314,51773,195,32,12.0,57517,Epoxy,14,14,2006,CMR,Centauri Services,Centauri Services,1B,
Adiyaman,9305453,4318,96,14,6.0,4990,Marineline,12,12,2005,TUR,Borealis Tankers,Borealis Tanker Kiralama,1D,
